,BC cells,Mix BC cells TAMs,DCs,T cells,TAMs,NK cells,Blood ECs,CAFs,Plasma cells,Mural cells,Mast cells,Myoepithelial cells
CD74,0.158553839541171,2.89353228217463,3.67893291676926,0.673525492455789,2.31466933368996,0.566584342115869,1.22362541605985,0.0877530058737075,1.05140146879401,0.375130205083647,0.0924557250781263,0.0975819035129632
GPX3,0.00435640042383042,0.0810218579737401,0.0637165663016192,0.00143350843189019,0.0900429648042322,0.00471720047300864,0.0163789080274725,0.00721838961590916,0.00686559018979895,0.20931502392234,0,0.00661566902409748
HAVCR2,0.0500746832831278,0.568178188591935,0.46751888219068,0.141484602237492,0.622816783005179,0.548812526804878,0.0614386960278512,0.0978212559955669,0.183410524068338,0.0660315045219297,0.105122117080454,0.0686607170703826
ITK,0.0475192863545577,0.0464827164804856,0.0345665012930037,1.41985581999621,0.0364660634088345,0.914302165562006,0.0327098281932535,0.272768425526964,0.146713962988126,0.0257577755666039,0.975514858749471,0.117071304795547
IL12B,0,0,0.0112541371200005,0,0,0,0,0.0036058860738241,0,0,0,0
PTTG1,0.126822892837563,0.48282151186362,0.174906948099666,0.177129232404088,0.108741992053158,0.195029270822508,0.0650672367328074,0.00755834757255623,0.02916701316794,0.0554232569341026,0.0144137704310474,0
FGF18,0.015266856551339,0.241410742974513,0.13129355026669,0.0386980301960125,0.119729084621887,0.0444009517609086,0.0405649555066815,0.0269554531869336,0.0415641823940021,0.0592284363644137,0.0144137704310474,0.00513087947543294
DUSP1,0.108131176506115,1.0751873102306,0.829999772487084,0.434655417429347,1.08078209406841,0.45106597109963,0.564878365738271,0.4504578483251,0.11677615790333,0.492972699625059,0.618091895735535,0.127831642032512
SQSTM1,0.536233454414408,1.15635279456685,1.19335333729172,0.573552497999607,1.26710471897352,0.84429380429679,0.589651001955406,0.41448938935845,0.396736333886704,0.814882174167512,0.679385524486096,0.335109470022468
SCGB3A1,0.000100796785728829,0.00467724344612342,0.00217196918847906,0,0.00237829932304591,0,0.0126989949526909,0,0,0.00669789224234789,0,0
RACK1,0.836352507566432,1.9176019856665,1.9666939972178,0.946101643072598,1.4938721468822,1.28606475729415,1.42515255515334,0.223047368305287,0.384634310451616,1.5006096924794,0.16819380226899,0.207840141564845
IRF4,0.0118183623549427,0.0914339996755474,0.429680062363275,0.15905310369903,0.0640913418347389,0.490476904687435,0,0.0458024002126389,0.908384687920484,0,0,0.00811568311413231
CD83,0.0915355377046414,1.52879625893578,2.1044992856083,0.293294043006477,1.48087132891062,0.792949057713565,0.0552786541901099,0.0625323312735248,0.456419345824533,0.190248612718734,0.495750318946606,0.0292778531019603
SOX4,0.746728236284001,0.392988118864476,0.299200611986591,0.13310820345113,0.271376124257931,0.0830011759457876,0.936768823622138,0.165692313115304,0.163872849996263,0.647553363363293,0.183725131497046,0.150727973105948
TUBB,0.488614121246922,1.94852792254683,1.04952251847918,0.274283978306334,0.809113325669674,0.641757675305143,0.84019497468599,0.0970581179071651,0.164845889374669,0.659925343308317,0.0520716823347705,0.0593929106757141
IER3,0.243544706890005,0.743647044646715,0.581989603089518,0.0966181746252016,0.777426523778631,0.231791330654729,0.331347500097017,0.0517327607838622,0.0539887017032036,0.636202394784127,0.115162840023175,0.0907433265990742
DDR1,0.180244111274279,0.0184671289507835,0.00360201783264018,0.00349721951628963,0.0112624208463896,0.00738872123654003,0.00972808733770266,0.0128977613253474,0,0.0735340418850003,0,0.0996046043098928
POU5F1,0.0130051430052587,0.00272764997398159,0,0.00157732012242538,0.00156621054140785,0.00612628484280326,0,0.00545105893672164,0.000998425091304689,0.0186154318104766,0,0.043264341101643
TNF,0.0211524682604635,0.277652183828733,0.520329923543794,0.237123572588895,0.203900726356473,0.156552480480748,0.00348330508489907,0.00229418042487284,0.0146921019296592,0.0246992881620778,0.0227609036693004,0
LTB,0.0298532742518022,0.123292450575399,1.0833800389098,0.79230456253435,0.0540148527089817,0.851622511557346,0.0112836585082196,0.0177338547094489,0.352930292076061,0.0367421657627053,0.017475971432707,0.00582211045312112
AIF1,0.0393493808580223,1.55087555276272,1.44450692879451,0.0411969696727059,1.21204992196674,0.0307034184758004,0.050510790311719,0.00989912170171291,0.127843772231377,0.11633754333605,0.0144137704310474,0.00530381941866979
TAP2,0.0552948174530863,0.201845954404913,0.358736131844649,0.155326747356043,0.106590170727291,0.206847659518664,0.207786654693893,0.0418276589284684,0.103868310917598,0.172857647522625,0.0227609036693004,0.0252167457438534
TAP1,0.105856920922202,0.188894718255871,0.351109081291225,0.245601606616926,0.117221678015974,0.282790657760569,0.212874524915072,0.0260541941160721,0.22057077680673,0.101933795555569,0,0.0391072096493218
RXRB,0.0852599237057875,0.0925397223274749,0.0711615814047428,0.0697638184647834,0.0795891651180356,0.0828486147322451,0.170299298595872,0.0930608573775301,0.0892230064279696,0.106659335010336,0.0759656488676785,0.04517231120092
PPARD,0.293813868344568,1.217799252917,0.871198212214927,0.205338924489581,1.14574400317195,0.309790083485925,0.1984405995279,0.355166147672087,0.307169319345368,0.26599226742262,1.07803172676336,0.362684907113673
FKBP5,0.567125268127277,0.840027929491071,0.897647143292278,0.826681265835865,0.577768365531185,0.661451144882528,0.302597302643689,0.30043486381079,0.688086530478516,0.371290962476713,0.282521917680489,0.481514912875641
MAPK14,0.503751587959026,0.506932475022575,0.525735979810081,0.46391028277449,0.494959678109438,0.535848400021875,0.546344103674116,0.447142866179245,0.500382213270507,0.393039192121459,0.750450494820093,0.533251531683923
MAPK13,0.0787019088735857,0.246454477269101,0.0625763354812107,0.0856223462147425,0.253995084258645,0.0914455552403329,0.00723095300897101,0.0398529075235485,0.0218129482078785,0.0155822957669689,0,0.0079863047354245
CDKN1A,0.0427693776613016,0.435564953202341,0.772860115930504,0.113138615604789,0.40261943771916,0.209236647729008,0.157498411546501,0.0638221682917421,0.181205954212743,0.296776128347814,0.0109974527615503,0.0550909549914864
