cell_ID,lrtest_nlog10P,fastreseg_flag
f1_c153,0.88834974549582,FALSE
f1_c154,0.0153757173894209,FALSE
f1_c155,1.87050293083435,FALSE
f1_c156,0.220359189222405,FALSE
f1_c157,,
f1_c158,,
f1_c159,3.28364612480021,FALSE
f1_c160,,
f1_c161,,
f1_c162,0.740189126501426,FALSE
f1_c163,0.667623970692244,FALSE
f1_c164,0.435040627381548,FALSE
f1_c165,1.16917009313078,FALSE
f1_c166,0.434071474621219,FALSE
f1_c167,2.09234671255464,FALSE
f1_c168,0.988226947743473,FALSE
f1_c169,0.159913201552633,FALSE
f1_c170,,
f1_c171,0.0484397933156921,FALSE
f1_c172,0.694940257511111,FALSE
f1_c173,0.0684437158418494,FALSE
f1_c174,2.62976712911078,FALSE
f1_c175,1.18259024180116,FALSE
f1_c176,7.09893948639102,TRUE
f1_c177,1.4405815197999,FALSE
f1_c178,,
f1_c179,0.839412468436733,FALSE
f1_c180,1.22340497351966,FALSE
f1_c181,1.07977244129865,FALSE
f1_c182,1.11445854328324,FALSE
f1_c183,,
f1_c184,0.613814614386965,FALSE
f1_c185,0.651317452411963,FALSE
f1_c186,1.17281403477326,FALSE
f1_c187,1.64611813626702,FALSE
f1_c188,0.138352581302553,FALSE
f1_c189,2.30321457434031,FALSE
f1_c190,0.157371820278692,FALSE
f1_c191,4.82475943617661,FALSE
f1_c192,1.3413841774387,FALSE
f1_c193,3.06598086799811,FALSE
f1_c194,0.170894767719647,FALSE
f1_c195,0.24780917340696,FALSE
f1_c196,0.668521790510117,FALSE
f1_c197,0.599518475982034,FALSE
f1_c198,3.99210390059076,FALSE
f1_c199,1.74804033185712,FALSE
f1_c200,2.56720824917511,FALSE
f1_c201,0.124056398440769,FALSE
f1_c202,13.2162771743287,TRUE
f1_c203,,
f1_c204,2.91885284961822,FALSE
f1_c205,6.00420737607944,TRUE
f1_c206,8.37937694837223,TRUE
f1_c207,0.175885668907364,FALSE
f1_c208,5.59355761198023,TRUE
f1_c209,,
f1_c210,,
f1_c211,2.01076929376819,FALSE
f1_c212,1.77933656895276,FALSE
f1_c213,,
f1_c214,2.58245031617391,FALSE
f1_c215,0.685305367004081,FALSE
f1_c216,0.291604633600624,FALSE
f1_c217,,
f1_c218,0.80966015807574,FALSE
f1_c219,,
f1_c220,1.30024883014486,FALSE
f1_c221,,
f1_c222,2.48490760283316,FALSE
f1_c223,,
f1_c224,,
f1_c225,0.943681210531742,FALSE
f1_c226,,
f1_c227,,
f1_c228,1.97528696598327,FALSE
